Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
TestOfflineEditsViewer.java,2,2,2,2,1,24,2,17,4,1,11,341,46,225,70,162,89,107,5,5,6,6,4,2,0.311111,23,23,24,24,17
TestOfflineImageViewer.java,1,1,2,2,1,24,1,20,2,2,21,643,59,507,85,371,184,255,6,6,6,6,1,3,0.167653,40,40,44,44,21
TestOfflineImageViewerForAcl.java,2,2,2,2,1,34,3,27,4,1,5,265,30,197,41,151,91,85,4,4,4,4,1,4,0.208122,11,11,12,12,5
TestOfflineImageViewerForContentSummary.java,1,1,1,1,1,20,0,18,2,1,9,248,14,202,41,152,84,112,3,3,3,3,1,2,0.20297,12,12,13,13,9
TestOfflineImageViewerForXAttr.java,1,1,1,1,1,24,3,19,2,1,8,265,45,191,36,136,72,95,3,3,3,3,1,2,0.188482,11,11,12,12,8
TestOfflineImageViewerWithStripedBlocks.java,1,1,1,1,1,9,0,8,0,1,10,165,20,124,21,92,63,43,3,3,3,3,1,1,0.169355,13,13,13,13,10
FoldedTreeSetTest.java,2,2,2,2,1,15,0,13,1,5,37,644,59,505,81,458,174,340,9,9,9,9,1,3,0.160396,102,102,102,102,37
HostsFileWriter.java,2,2,2,2,1,11,0,11,0,1,10,174,18,139,18,107,54,65,8,8,9,9,1,3,0.129496,23,23,24,24,10
TestAtomicFileOutputStream.java,1,1,1,1,1,15,1,11,2,2,7,161,24,101,36,78,40,47,2,2,2,2,1,2,0.356436,8,8,9,9,7
TestBestEffortLongFile.java,1,1,1,1,1,16,1,13,1,1,3,86,11,53,22,39,20,25,2,2,2,2,1,3,0.415094,5,5,5,5,3
TestCombinedHostsFileReader.java,1,1,1,1,1,6,0,5,0,1,4,80,12,40,28,27,22,12,1,1,1,1,1,0,0.7,4,4,4,4,4
TestCyclicIteration.java,3,3,3,3,1,16,1,13,2,1,2,65,6,38,21,38,21,19,5,5,5,5,1,2,0.552632,7,7,7,7,2
TestDiff.java,4,4,4,4,1,25,1,20,3,1,11,340,35,248,62,194,84,149,22,20,22,20,5,2,0.25,50,48,50,48,15
TestLightWeightHashSet.java,3,3,3,3,1,23,3,17,3,2,18,500,79,344,77,320,104,240,6,6,6,6,4,1,0.223837,54,54,55,55,21
TestLightWeightLinkedSet.java,2,2,2,2,1,20,2,16,2,1,18,435,61,318,56,297,93,227,9,9,9,9,1,1,0.176101,50,50,50,50,18
TestMD5FileUtils.java,1,1,1,1,1,9,0,7,2,1,6,110,13,68,30,47,29,25,2,2,2,2,1,1,0.441176,8,8,8,8,6
TestStripedBlockUtil.java,2,2,2,2,1,19,0,17,1,1,9,286,24,192,70,138,77,76,11,11,12,12,8,6,0.364583,25,25,26,26,16
TestXMLUtils.java,1,1,1,1,1,6,0,5,0,1,9,88,10,59,19,35,16,21,3,3,3,3,1,1,0.322034,11,11,11,11,9
TestAuthFilter.java,1,1,1,1,1,7,0,7,0,2,9,116,15,84,17,58,41,33,1,1,1,1,1,0,0.202381,9,9,9,9,9
TestFSMainOperationsWebHdfs.java,1,1,1,1,1,15,1,13,0,3,12,245,35,183,28,135,76,79,5,5,5,5,1,1,0.153005,19,19,19,19,12
TestHttpsFileSystem.java,1,1,1,1,1,16,1,15,0,1,3,103,11,75,17,64,37,35,2,2,2,2,1,1,0.226667,4,4,4,4,3
TestJsonUtil.java,1,1,1,1,1,20,1,17,1,1,10,264,31,205,28,153,81,104,2,2,2,2,1,1,0.136585,14,14,14,14,10
TestWebHDFS.java,2,2,2,2,1,29,2,25,2,6,39,1223,125,999,103,715,331,530,5,5,5,5,1,3,0.103103,87,87,89,89,39
TestWebHDFSAcl.java,1,1,1,1,1,9,0,5,4,1,4,71,6,28,37,15,11,4,1,1,1,1,1,0,1.32143,4,4,4,4,4
TestWebHDFSForHA.java,2,2,2,2,1,38,4,30,3,2,7,330,44,247,41,189,90,125,3,3,3,3,1,2,0.165992,16,16,16,16,7
TestWebHDFSXAttr.java,1,1,1,1,1,10,0,4,6,1,1,36,2,8,26,5,4,1,1,1,1,1,1,0,3.25,1,1,1,1,1
TestWebHdfsFileSystemContract.java,2,2,2,2,1,39,3,32,4,1,13,604,74,469,74,366,167,277,5,5,5,5,1,2,0.157783,31,31,31,31,13
TestWebHdfsTimeouts.java,1,1,1,1,1,17,0,12,4,4,16,374,29,243,104,167,76,97,5,5,6,6,4,3,0.427984,34,34,35,35,19
TestWebHdfsTokens.java,1,1,1,1,1,20,1,18,1,6,21,494,46,408,44,330,105,248,8,8,8,8,1,2,0.107843,35,35,36,36,21
TestWebHdfsUrl.java,1,1,1,1,1,29,3,24,2,1,10,360,47,275,39,140,93,96,2,2,2,2,1,1,0.141818,11,11,11,11,10
TestWebHdfsWithAuthenticationFilter.java,1,1,1,1,1,8,0,8,0,2,6,107,12,77,19,53,34,20,3,3,3,3,1,1,0.246753,10,10,10,10,6
TestWebHdfsWithMultipleNameNodes.java,2,2,2,2,1,15,1,13,1,1,7,167,21,119,28,109,59,65,9,9,9,9,1,2,0.235294,19,19,19,19,7
TestWebHdfsWithRestCsrfPreventionFilter.java,1,1,1,1,1,9,0,8,1,1,9,166,21,109,37,76,45,37,2,2,4,4,1,1,0.33945,13,13,17,17,9
WebHdfsTestUtil.java,1,1,1,1,1,7,0,7,0,2,7,95,10,68,19,45,30,18,3,3,3,3,1,1,0.279412,9,9,9,9,7
TestParam.java,1,1,1,1,1,12,1,11,0,1,31,472,73,382,17,258,102,196,7,7,7,7,1,2,0.0445026,55,55,55,55,31
TestRollingFileSystemSinkWithHdfs.java,1,1,1,1,1,21,2,11,7,1,13,334,54,178,117,118,58,83,3,3,3,3,1,3,0.657303,17,17,17,17,13
TestRollingFileSystemSinkWithSecureHdfs.java,1,1,1,1,1,17,1,12,4,4,11,265,28,171,68,125,74,66,2,2,2,2,1,1,0.397661,13,13,13,13,11
TestNetworkTopology.java,3,3,3,3,1,28,1,24,3,1,14,472,38,371,63,289,91,224,10,10,10,10,7,3,0.169811,45,45,47,47,26
TestPermission.java,2,2,2,2,1,21,1,18,1,1,17,454,48,356,50,273,98,217,5,5,5,5,1,2,0.140449,38,38,38,38,17
TestPermissionSymlinks.java,1,1,1,1,1,11,0,10,0,10,36,434,39,359,36,212,99,139,3,3,3,3,1,1,0.100279,44,44,44,44,36
TestRefreshUserMappings.java,2,2,2,2,1,23,2,19,2,2,8,258,36,193,33,158,77,105,5,5,5,5,1,1,0.170984,17,17,17,17,8
HdfsTestDriver.java,1,1,1,1,1,6,0,6,0,1,4,61,9,32,20,21,10,11,2,2,2,2,1,1,0.625,6,6,6,6,4
MiniDFSClusterManager.java,3,3,3,3,2,23,1,18,4,1,8,270,24,180,66,116,54,71,6,6,6,6,5,3,0.366667,25,25,25,25,17
PathUtils.java,1,1,1,1,1,3,0,3,0,1,6,55,10,28,17,19,11,9,2,2,2,2,1,1,0.607143,7,7,7,7,6
FakeRenewer.java,1,1,1,1,1,3,0,3,0,1,7,65,10,38,17,26,17,10,1,1,1,1,1,0,0.447368,7,7,7,7,7
TestHdfsConfigFields.java,1,1,1,1,1,108,24,60,24,1,1,148,29,67,52,47,7,40,1,1,1,1,1,0,0.776119,1,1,1,1,1
TestJMXGet.java,2,2,2,2,1,21,1,17,2,1,5,178,21,124,34,99,60,50,4,4,5,5,1,2,0.274194,12,12,13,13,5
TestTools.java,2,2,2,2,1,10,0,9,0,1,11,165,18,130,17,88,43,49,7,7,7,7,1,2,0.130769,24,24,24,24,11
TestTraceAdmin.java,1,1,1,1,1,23,0,21,1,2,6,172,9,134,29,86,48,53,2,2,2,2,1,1,0.216418,7,7,8,8,6
TestTracing.java,2,2,2,2,1,22,1,19,1,1,7,231,25,179,27,121,69,73,3,3,3,3,1,2,0.150838,15,15,15,15,7
TestTracingShortCircuitLocalRead.java,1,1,1,1,1,17,1,16,0,1,3,108,10,81,17,60,37,26,1,1,1,1,1,1,0.209877,3,3,3,3,3
hdfs.xml,0,0,0,0,0,0,0,0,0,0,0,104,18,66,20,0,0,0,0,0,0,0,0,0,0.30303,0,0,0,0,0
editsStored.xml,0,0,0,0,0,0,0,0,0,0,0,1201,0,1201,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
fi-site.xml,0,0,0,0,0,0,0,0,0,0,0,33,6,12,15,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0
hadoop-policy.xml,0,0,0,0,0,0,0,0,0,0,0,126,14,97,15,0,0,0,0,0,0,0,0,0,0.154639,0,0,0,0,0
hdfs-site.malformed.xml,0,0,0,0,0,0,0,0,0,0,0,143,24,100,19,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0
hdfs-site.xml,0,0,0,0,0,0,0,0,0,0,0,34,5,12,17,0,0,0,0,0,0,0,0,0,1.41667,0,0,0,0,0
testAclCLI.xml,0,0,0,0,0,0,0,0,0,0,0,1075,5,1047,23,0,0,0,0,0,0,0,0,0,0.0219675,0,0,0,0,0
testAclCLIWithPosixAclInheritance.xml,0,0,0,0,0,0,0,0,0,0,0,1075,5,1047,23,0,0,0,0,0,0,0,0,0,0.0219675,0,0,0,0,0
testCacheAdminConf.xml,0,0,0,0,0,0,0,0,0,0,0,580,28,530,43,0,0,0,0,0,0,0,0,0,0.0811321,0,0,0,0,0
testCryptoConf.xml,0,0,0,0,0,0,0,0,0,0,0,576,32,522,22,0,0,0,0,0,0,0,0,0,0.0421456,0,0,0,0,0
testDeleteConf.xml,0,0,0,0,0,0,0,0,0,0,0,83,5,56,24,0,0,0,0,0,0,0,0,0,0.428571,0,0,0,0,0
testErasureCodingConf.xml,0,0,0,0,0,0,0,0,0,0,0,393,27,340,26,0,0,0,0,0,0,0,0,0,0.0764706,0,0,0,0,0
testHDFSConf.xml,0,0,0,0,0,0,0,0,0,0,0,17534,678,16739,798,0,0,0,0,0,0,0,0,0,0.0476731,0,0,0,0,0
testXAttrConf.xml,0,0,0,0,0,0,0,0,0,0,0,538,31,485,22,0,0,0,0,0,0,0,0,0,0.0453608,0,0,0,0,0
pom.xml,0,0,0,0,0,0,0,0,0,0,0,57,5,41,11,0,0,0,0,0,0,0,0,0,0.268293,0,0,0,0,0
findbugs-exclude.xml,0,0,0,0,0,0,0,0,0,0,0,537,38,410,89,0,0,0,0,0,0,0,0,0,0.217073,0,0,0,0,0
Apache_Hadoop_MapReduce_Common_2.6.0.xml,0,0,0,0,0,0,0,0,0,0,0,281,5,250,26,0,0,0,0,0,0,0,0,0,0.104,0,0,0,0,0
Apache_Hadoop_MapReduce_Common_2.7.2.xml,0,0,0,0,0,0,0,0,0,0,0,129,5,96,28,0,0,0,0,0,0,0,0,0,0.291667,0,0,0,0,0
Apache_Hadoop_MapReduce_Core_2.6.0.xml,0,0,0,0,0,0,0,0,0,0,0,30767,945,29060,762,0,0,0,0,0,0,0,0,0,0.0262216,0,0,0,0,0
Apache_Hadoop_MapReduce_Core_2.7.2.xml,0,0,0,0,0,0,0,0,0,0,0,27290,951,25727,612,0,0,0,0,0,0,0,0,0,0.0237882,0,0,0,0,0
Apache_Hadoop_MapReduce_JobClient_2.6.0.xml,0,0,0,0,0,0,0,0,0,0,0,975,5,940,30,0,0,0,0,0,0,0,0,0,0.0319149,0,0,0,0,0
Apache_Hadoop_MapReduce_JobClient_2.7.2.xml,0,0,0,0,0,0,0,0,0,0,0,32,5,9,18,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0
Null.java,1,1,1,1,1,1,0,1,0,1,1,20,0,3,17,2,2,0,1,1,1,1,1,0,5.66667,1,1,1,1,1
pom.xml,0,0,0,0,0,0,0,0,0,0,0,144,6,126,12,0,0,0,0,0,0,0,0,0,0.0952381,0,0,0,0,0
CustomOutputCommitter.java,1,1,1,1,1,4,0,4,0,1,8,85,13,55,17,37,26,13,1,1,1,1,1,0,0.309091,8,8,8,8,8
LocalContainerLauncher.java,2,2,2,2,1,18,1,13,3,4,27,650,69,433,153,281,130,184,14,14,14,14,3,4,0.353349,71,71,71,71,29
MapReduceChildJVM.java,3,3,3,3,1,29,2,18,8,1,5,191,23,109,61,76,38,49,6,6,6,6,1,2,0.559633,15,15,15,15,5
MapTaskAttemptImpl.java,1,1,1,1,1,11,0,10,1,1,2,64,7,39,19,24,19,6,1,1,1,1,1,0,0.487179,2,2,2,2,2
ReduceTaskAttemptImpl.java,1,1,1,1,1,11,0,10,1,1,2,63,7,38,19,23,18,6,1,1,1,1,1,0,0.5,2,2,2,2,2
TaskAttemptListenerImpl.java,1,1,1,1,1,15,1,10,3,1,29,566,88,360,118,213,106,131,9,9,14,14,1,2,0.327778,43,43,48,48,29
WrappedJvmID.java,1,1,1,1,1,3,0,3,0,1,1,30,4,6,20,4,3,1,1,1,1,1,1,0,3.33333,1,1,1,1,1
WrappedPeriodicStatsAccumulator.java,1,1,1,1,1,3,0,3,0,1,2,33,5,10,18,7,5,2,1,1,1,1,1,0,1.8,2,2,2,2,2
WrappedProgressSplitsBlock.java,1,1,1,1,1,5,0,5,0,1,6,67,8,41,18,26,12,14,2,2,2,2,1,1,0.439024,10,10,10,10,6
YarnChild.java,3,3,4,4,1,37,2,28,6,4,8,360,35,257,70,185,89,121,17,17,17,17,5,3,0.272374,30,30,32,32,12
YarnOutputFiles.java,1,1,1,1,1,9,0,5,4,1,17,238,25,110,103,60,42,27,2,2,2,2,1,1,0.936364,18,18,18,18,17
JobHistoryCopyService.java,1,1,1,1,1,11,0,10,0,1,6,125,15,86,24,58,36,29,3,3,3,3,1,1,0.27907,10,10,10,10,6
JobHistoryEvent.java,1,1,1,1,1,3,0,3,0,1,4,47,8,22,17,16,10,6,1,1,1,1,1,0,0.772727,4,4,4,4,4
JobHistoryEventHandler.java,4,3,5,3,1,28,1,25,1,4,52,1674,122,1425,132,927,267,729,45,18,45,19,14,4,0.0926316,250,182,262,194,70
JobSummary.java,1,1,1,1,1,3,0,3,0,2,43,256,48,184,30,119,71,51,2,2,2,2,1,1,0.163043,45,45,45,45,43
AppContext.java,0,0,0,0,0,0,0,0,0,1,16,72,21,31,20,29,29,0,0,0,0,0,0,0,0.645161,0,0,0,0,0
ClusterInfo.java,1,1,1,1,1,3,0,3,0,1,4,44,7,20,17,14,10,4,1,1,1,1,1,0,0.85,4,4,4,4,4
JobEndNotifier.java,4,4,5,5,1,32,2,25,5,1,4,195,18,126,56,81,36,50,8,8,9,9,3,2,0.444444,17,17,21,21,6
MRAppMaster.java,1,1,1,1,1,12,0,10,1,22,119,1830,205,1345,285,874,431,532,13,13,17,17,6,5,0.211896,209,209,227,227,136
MRClientSecurityInfo.java,1,1,1,1,1,8,0,7,0,2,4,58,8,33,17,21,15,6,2,2,2,2,1,0,0.515152,5,5,5,5,4
TaskAttemptFinishingMonitor.java,1,1,1,1,1,7,0,6,0,1,3,63,8,34,21,22,16,8,1,1,1,1,1,0,0.617647,3,3,3,3,3
TaskAttemptListener.java,0,0,0,0,0,0,0,0,0,1,4,60,9,11,40,10,10,0,0,0,0,0,0,0,3.63636,0,0,0,0,0
TaskHeartbeatHandler.java,1,1,1,1,1,8,0,7,0,3,12,184,29,125,31,85,49,43,5,5,7,7,3,3,0.248,19,19,21,21,14
ClientService.java,0,0,0,0,0,0,0,0,0,1,2,30,6,7,17,6,6,0,0,0,0,0,0,0,2.42857,0,0,0,0,0
MRClientService.java,1,1,1,1,1,11,0,10,0,2,26,436,44,362,30,230,154,124,3,3,5,5,1,1,0.0828729,36,36,38,38,26
package-info.java,0,0,0,0,0,0,0,0,0,0,0,20,0,3,17,2,2,0,0,0,0,0,0,0,5.66667,0,0,0,0,0
CommitterEvent.java,1,1,1,1,1,3,0,3,0,1,1,28,4,7,17,5,4,1,1,1,1,1,1,0,2.42857,1,1,1,1,1
CommitterEventHandler.java,2,2,2,2,1,13,0,12,0,5,20,352,34,291,27,193,88,117,5,4,6,6,3,3,0.0927835,45,42,48,45,22
CommitterEventType.java,0,0,0,0,0,0,0,0,0,1,0,26,2,7,17,2,2,0,0,0,0,0,0,0,2.42857,0,0,0,0,0
CommitterJobAbortEvent.java,1,1,1,1,1,4,0,4,0,1,4,50,8,25,17,19,12,7,1,1,1,1,1,0,0.68,4,4,4,4,4
CommitterJobCommitEvent.java,1,1,1,1,1,3,0,3,0,1,3,42,7,18,17,14,9,5,1,1,1,1,1,0,0.944444,3,3,3,3,3
CommitterJobSetupEvent.java,1,1,1,1,1,3,0,3,0,1,3,42,7,18,17,14,9,5,1,1,1,1,1,0,0.944444,3,3,3,3,3
CommitterTaskAbortEvent.java,1,1,1,1,1,4,0,4,0,1,3,43,7,19,17,14,9,5,1,1,1,1,1,0,0.894737,3,3,3,3,3
package-info.java,0,0,0,0,0,0,0,0,0,0,0,20,0,3,17,2,2,0,0,0,0,0,0,0,5.66667,0,0,0,0,0
Job.java,0,0,0,0,0,0,0,0,0,1,26,105,16,49,40,46,46,0,0,0,0,0,0,0,0.816327,0,0,0,0,0
JobStateInternal.java,0,0,0,0,0,0,0,0,0,1,0,36,2,17,17,2,2,0,0,0,0,0,0,0,1.0,0,0,0,0,0
Task.java,0,0,0,0,0,0,0,0,0,1,10,58,8,20,30,19,19,0,0,0,0,0,0,0,1.5,0,0,0,0,0
TaskAttempt.java,0,0,0,0,0,0,0,0,0,1,18,103,16,29,58,28,28,0,0,0,0,0,0,0,2.0,0,0,0,0,0
TaskAttemptStateInternal.java,0,0,0,0,0,0,0,0,0,1,0,75,8,20,47,3,3,0,0,0,0,0,0,0,2.35,0,0,0,0,0
